,0,1
63,1.7107421398909342e-26,1.8762995483323877e-30
64,3.369597794318099e-26,2.3607579771682236e-28
65,2.3208539716930346e-27,2.1742594072502738e-32
66,4.556897351501362e-29,1.1848938050294729e-33
67,1.4043048083288463e-26,4.23926841682378e-28
68,1.2696785260474963e-33,2.486026880483522e-56
69,1.4510232659461075e-29,5.0331529028217154e-29
70,6.999154910475289e-31,2.5246925872449687e-32
71,2.937634926075224e-26,1.9595181611500824e-27
72,2.2676006607023715e-28,1.3377492024971864e-27
73,2.624801235015472e-27,6.451274297037285e-29
74,2.128243771342534e-30,1.1292900345713146e-28
75,1.145715300629528e-29,7.58508497971476e-42
76,1.8086030285754688e-28,1.5577668102793058e-29
77,4.418258943414248e-27,9.710822861370556e-29
78,5.143854213735482e-27,1.2768163033580714e-31
79,6.03477046096995e-35,1.3541614826650014e-59
80,1.0772577671493645e-34,1.9757774696845646e-32
81,1.3312096285698658e-32,2.7222330033232475e-31
82,1.4383970422496344e-28,4.08579008906195e-29
83,3.5790981850723045e-29,9.634214645554922e-31
84,3.4830141717869987e-31,8.93215010714581e-33
85,1.6107960102475067e-36,2.175470283212788e-30
86,3.599149435388454e-30,2.1374246893258036e-31
87,5.4720151204510366e-27,1.5183901922712452e-30
88,6.420935040550691e-27,1.032033495526297e-28
89,7.88276715478242e-29,1.6062293501397503e-29
90,1.523517933569084e-50,1.5404140422039312e-32
91,1.625133276276162e-33,4.111793396248891e-29
92,1.4866930410310919e-31,2.0663997925046735e-30
93,5.7858025242813316e-27,1.754454809846488e-27
94,5.105391423459639e-29,6.0556860260672614e-30
95,1.0478750873741801e-28,1.3512056869819439e-33
96,1.3411453350681374e-27,2.509033225619921e-31
97,4.488225156321181e-28,5.95845394337322e-28
98,4.6758733429557517e-29,1.4522205303663866e-28
99,1.7276685125956522e-28,9.04741972382973e-29
100,3.9714903098939604e-45,7.200881353518527e-35
101,6.232753848781536e-32,1.5714557374345723e-30
102,3.4644252638951485e-27,1.499192758058738e-30
103,1.4089837119027877e-33,3.6941423669350602e-31
104,3.346665554968228e-30,3.807572319764331e-28
105,5.231799915657425e-33,7.593838892152314e-31
106,7.488456076746752e-28,6.369671318505262e-33
107,1.679719957472017e-27,2.0285009119960135e-29
108,5.472780759981948e-27,4.56506637883383e-31
109,1.184471256895087e-47,1.5990640837564505e-31
110,8.198196055772305e-29,1.5290241773828202e-31
111,3.4267766980852506e-45,1.851102263459324e-35
112,3.1571527244738905e-33,2.0682261642655428e-29
113,1.3012500938992533e-37,1.48387523161181e-31
114,1.0933074271271427e-29,7.069918939372816e-30
115,2.4013574832166647e-30,9.741780234015753e-29
116,1.2572431231102997e-33,3.8494705431346592e-31
117,2.682638876629777e-28,5.566864402339927e-33
118,6.3560846888339025e-28,1.4429607569811245e-28
119,6.770977167667002e-34,7.749248984503449e-53
120,9.480444043646576e-27,3.333288347810642e-31
121,5.98127193821921e-27,2.81968461026116e-30
122,3.9594367655707276e-29,4.457730674673377e-32
123,9.804526564092946e-35,1.9674893920458094e-32
124,3.0816744833402643e-34,1.1330517799542288e-31
125,3.4495726443317064e-26,7.836435773240664e-30
126,7.765023391434137e-45,3.854747466543137e-31
127,2.0424544430311376e-31,6.226901267741049e-29
128,6.600870220443557e-82,1.2587448269836115e-42
129,2.6823185994712225e-30,2.194118199011476e-29
130,3.1192864190189926e-31,1.4531850797256327e-28
131,3.0698671858586408e-27,7.635906934513399e-31
132,4.0071432929576084e-27,2.5197556099577754e-30
133,7.693447189571053e-28,1.9577370777739183e-29
134,1.1392400727478114e-31,3.7940736863713224e-31
135,1.410876598322671e-26,3.2406720814904424e-27
136,1.64826577632224e-45,7.7940596949135e-31
137,4.111522716076423e-33,1.4729029161391627e-28
138,1.9278447183933273e-28,1.706061374719366e-28
139,2.2036947879907153e-27,2.6008509934707388e-30
140,4.039659806924988e-27,7.206000889340794e-32
141,9.482146257080913e-29,6.032200160331923e-28
142,5.7392633396132504e-27,5.953493450304944e-30
143,3.5399896755292116e-36,4.097721864504573e-31
144,3.15955237374986e-29,3.667167827366326e-31
145,1.0198464514632199e-30,8.539162202121727e-30
146,4.574932610478164e-30,1.1104464902799165e-28
147,6.144753431199704e-35,2.5970869980422034e-31
148,1.0090954153781251e-52,1.5203219594262755e-33
149,3.0024963890497757e-30,1.7301941595158163e-31
150,5.3624528136887454e-34,9.849800558088168e-32
151,8.919841592553632e-28,3.1069246261192526e-29
152,2.0148550864941647e-26,1.1952823898989012e-28
153,1.3698776396808547e-27,1.723354990163322e-31
